Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_phone_numberRegisterPage""), phone_number)",Chrome 121.0.0.0,,,12-02-2024 08:13:19,12-02-2024 08:13:20,1.137s,PASSED
countryCode = 0,Chrome 121.0.0.0,,,12-02-2024 08:13:20,12-02-2024 08:13:20,0.000s,PASSED
switch (country),Chrome 121.0.0.0,,,12-02-2024 08:13:20,12-02-2024 08:13:20,0.002s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Advantage Shopping/select_AfganistanAlbaniaAlgeriaAmerican Sam_3cef8a""), ""object:"" + countryCode, true)",Chrome 121.0.0.0,,,12-02-2024 08:13:20,12-02-2024 08:13:23,3.068s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_cityRegisterPage""), city)",Chrome 121.0.0.0,,,12-02-2024 08:13:23,12-02-2024 08:13:24,1.017s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_addressRegisterPage""), address)",Chrome 121.0.0.0,,,12-02-2024 08:13:24,12-02-2024 08:13:25,1.131s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_state__province__regionRegisterPage""), province)",Chrome 121.0.0.0,,,12-02-2024 08:13:25,12-02-2024 08:13:26,1.135s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_postal_codeRegisterPage""), postal_code)",Chrome 121.0.0.0,,,12-02-2024 08:13:26,12-02-2024 08:13:27,1.121s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/input_i_agree""))",Chrome 121.0.0.0,,,12-02-2024 08:13:27,12-02-2024 08:13:28,0.473s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/button_REGISTER""))",Chrome 121.0.0.0,,,12-02-2024 08:13:28,12-02-2024 08:13:28,0.566s,PASSED
takeScreenshot(),Chrome 121.0.0.0,,,12-02-2024 08:13:28,12-02-2024 08:13:29,1.180s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 08:13:29,12-02-2024 08:13:30,0.086s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 08:13:32,12-02-2024 08:13:32,0.000s,PASSED
,,,,,,,
Test Cases/user/register,Chrome 121.0.0.0,,,12-02-2024 08:13:32,12-02-2024 08:13:54,22.732s,PASSED
encryptedText = auth.CryptoUtils.encrypt(password),Chrome 121.0.0.0,,,12-02-2024 08:13:32,12-02-2024 08:13:32,0.001s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 08:13:32,12-02-2024 08:13:32,0.535s,PASSED
"navigateToUrl(webURL + ""register"")",Chrome 121.0.0.0,,,12-02-2024 08:13:32,12-02-2024 08:13:35,2.620s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_usernameRegisterPage""), username)",Chrome 121.0.0.0,,,12-02-2024 08:13:35,12-02-2024 08:13:37,1.741s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/label_Email""))",Chrome 121.0.0.0,,,12-02-2024 08:13:37,12-02-2024 08:13:37,0.461s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_emailRegisterPage""), email)",Chrome 121.0.0.0,,,12-02-2024 08:13:37,12-02-2024 08:13:38,1.121s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Advantage Shopping/input_passwordRegisterPage""), encryptedText)",Chrome 121.0.0.0,,,12-02-2024 08:13:38,12-02-2024 08:13:39,0.492s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Advantage Shopping/input_confirm_passwordRegisterPage""), encryptedText)",Chrome 121.0.0.0,,,12-02-2024 08:13:39,12-02-2024 08:13:39,0.491s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_first_nameRegisterPage""), first_name)",Chrome 121.0.0.0,,,12-02-2024 08:13:39,12-02-2024 08:13:40,1.127s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_last_nameRegisterPage""), last_name)",Chrome 121.0.0.0,,,12-02-2024 08:13:40,12-02-2024 08:13:41,1.128s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_phone_numberRegisterPage""), phone_number)",Chrome 121.0.0.0,,,12-02-2024 08:13:41,12-02-2024 08:13:42,1.137s,PASSED
countryCode = 0,Chrome 121.0.0.0,,,12-02-2024 08:13:42,12-02-2024 08:13:42,0.001s,PASSED
switch (country),Chrome 121.0.0.0,,,12-02-2024 08:13:42,12-02-2024 08:13:42,0.002s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Advantage Shopping/select_AfganistanAlbaniaAlgeriaAmerican Sam_3cef8a""), ""object:"" + countryCode, true)",Chrome 121.0.0.0,,,12-02-2024 08:13:42,12-02-2024 08:13:46,3.035s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_cityRegisterPage""), city)",Chrome 121.0.0.0,,,12-02-2024 08:13:46,12-02-2024 08:13:47,1.021s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_addressRegisterPage""), address)",Chrome 121.0.0.0,,,12-02-2024 08:13:47,12-02-2024 08:13:48,1.134s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_state__province__regionRegisterPage""), province)",Chrome 121.0.0.0,,,12-02-2024 08:13:48,12-02-2024 08:13:49,1.128s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_postal_codeRegisterPage""), postal_code)",Chrome 121.0.0.0,,,12-02-2024 08:13:49,12-02-2024 08:13:50,1.134s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/input_i_agree""))",Chrome 121.0.0.0,,,12-02-2024 08:13:50,12-02-2024 08:13:50,0.467s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/button_REGISTER""))",Chrome 121.0.0.0,,,12-02-2024 08:13:50,12-02-2024 08:13:51,0.572s,PASSED
takeScreenshot(),Chrome 121.0.0.0,,,12-02-2024 08:13:51,12-02-2024 08:13:52,1.192s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 08:13:52,12-02-2024 08:13:52,0.092s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 08:13:54,12-02-2024 08:13:54,0.000s,PASSED
,,,,,,,
Test Cases/user/login,Chrome 121.0.0.0,,,12-02-2024 08:13:54,12-02-2024 08:14:09,15.005s,PASSED
"currentUser = new Users(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:13:54,12-02-2024 08:13:54,0.010s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 08:13:54,12-02-2024 08:13:55,0.587s,PASSED
navigateToUrl(webURL),Chrome 121.0.0.0,,,12-02-2024 08:13:55,12-02-2024 08:13:57,2.314s,PASSED
"users.Operations.Login(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:13:57,12-02-2024 08:14:07,9.886s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 08:14:07,12-02-2024 08:14:07,0.096s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 08:14:09,12-02-2024 08:14:09,0.000s,PASSED
,,,,,,,
Test Cases/user/login,Chrome 121.0.0.0,,,12-02-2024 08:14:09,12-02-2024 08:14:25,15.322s,PASSED
"currentUser = new Users(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:14:09,12-02-2024 08:14:09,0.002s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 08:14:09,12-02-2024 08:14:10,0.579s,PASSED
